Event No.,Time,X,Y,Z,Arr Time 1
1,0.08,,,,41.4
2,20.207,,,,97.3
3,20.209,,,,15.9
4,27.734,,,,98.9
5,27.736,,,,19.2
6,33.079,,,,99.3
7,38.348,,,,99.2
8,38.35,,,,52.9
9,44.75,,,,99
10,44.752,,,,23
11,49.564,,,,98.7
12,55.059,,,,98.7
13,55.061,,,,56.3
14,61.474,,,,99
15,61.476,,,,67.7
16,68.661,,,,99.3
17,68.664,,,,63.6
18,74.117,,,,98.9
19,80.456,,,,98.9
20,87.64,,,,98.8
21,94.711,,,,99.9
22,105.074,,,,98.6
23,105.077,,,,50.1
24,111.406,,,,98.9
25,117.285,,,,99.1
26,117.287,,,,47.4
27,125.496,,,,99
28,133.203,,,,98.7
29,133.206,,,,77.8
30,138.994,,,,99.3
31,138.996,,,,38.2
32,142.982,,,,99.1
33,142.984,,,,84.1
34,146.422,,,,98.8
35,146.425,,,,79.6
36,149.106,,,,98.9
37,149.108,,,,27.4
38,152.044,,,,99.1
39,156.075,,,,98.7
40,156.077,,,,30
41,160.337,,,,99
42,164.594,,,,99.1
43,169.81,,,,97.1
44,169.813,,,,81.2
45,178.493,,,,99.2
46,178.495,,,,57.7
47,183.017,,,,99.2
48,183.02,,,,21.7
49,188.325,,,,99
50,188.327,,,,58.7
51,193.344,,,,99
52,198.831,,,,98.9
53,198.833,,,,13.6
54,203.347,,,,98.8
55,208.3,,,,99
56,208.302,,,,26.1
57,211.984,,,,99.3
58,211.986,,,,54
59,215.45,,,,99.1
60,218.8,,,,99.1
61,222.938,,,,95.6
62,226.375,,,,95.6
63,231.667,,,,97.4
64,238.944,,,,98.9
65,238.946,,,,21.1
66,242.803,,,,98.9
67,247.179,,,,98.8
68,247.183,,,,81.4
69,250.95,,,,97.1
70,254.45,,,,99.3
71,254.452,,,,13
72,259.987,,,,99.2
73,259.989,,,,30
74,265.525,,,,97.2
75,270.914,,,,98.8
76,270.916,,,,53.4
77,275.373,,,,89.5
78,279.8,,,,99.1
79,279.802,,,,51.7
80,285.782,,,,99.1
81,290.68,,,,95.2
82,297.063,,,,99.6
83,297.065,,,,11.1
84,304.455,,,,98.9
85,304.457,,,,51.9
86,308.41,,,,99.4
87,312.437,,,,63.1
88,312.44,,,,54.1
89,316.033,,,,97.2
90,319.226,,,,99.1
91,319.228,,,,26
92,321.983,,,,98.7
93,321.985,,,,53.4
94,325.381,,,,99.2
95,325.383,,,,94.1
96,328.089,,,,98.6
97,328.091,,,,54
98,332.351,,,,97.5
99,337.478,,,,62.8
100,337.48,,,,55.6
101,341.392,,,,96.8
102,341.394,,,,46.3
103,345.988,,,,99.1
104,345.991,,,,61.8
105,351.392,,,,99.1
106,361.047,,,,99
107,361.05,,,,53.3
108,365.738,,,,99
109,365.74,,,,26.7
