Event,Time
1,62.492
2,90.953
4,145.756
7,152.696
11,163.027
13,169.809
15,173.148
17,176.866
20,182.059
23,188.64
26,193.369
28,197.595
31,226.014
33,231.759
36,236.421
39,240.443
42,247.316
44,254.79
46,258.425
49,261.45
51,263.805
52,264.385
54,266.7
57,270.399
58,272.598
61,285.28
64,288.922
67,292.964
70,296.932
72,303.63
75,308.307
77,314.532
79,318.636
82,324.437
84,329.265
87,334.1
89,348.735
91,351.876
94,360.358
97,367.443
99,371.76
101,375.63
103,381.056
105,384.954
107,389.621
109,393.964
111,397.714
113,404.111
115,413.245
119,418.065
121,421.489
123,426.162
125,429.788
127,436.455
129,442.081
132,448.482
136,453.208
138,458.792
141,475.566
143,480.644
145,485.309
147,492.21
149,499.857
151,508.653
153,514.197
155,520.776
157,524.451
159,529.224
162,534.692
165,539.948
167,549.667
169,554.028
171,559.421
175,564.36
177,569.742
179,573.235
181,577.064
183,582.942
185,588.028
188,593.252
190,597.114
193,600.395
196,605.847
199,608.682
201,611.548
203,616.479
206,621.593
208,625.067
211,628.942
213,634.239
216,638.23
219,643.558
223,674.135
229,685.83
234,689.898
238,693.115
242,696.546
245,699.414
256,703.549
259,706.601
266,710.675
277,717.65
282,722.428
296,726.336
307,730.861
315,731.004
324,737.36
344,740.707
401,744.044
418,746.337
478,750.674
517,754.445
561,758.284
595,764.991
598,766.629
650,788.533
713,824.756
737,831.718
751,836.045
755,840.664
759,845.162
762,848.662
786,852.98
821,860.478
838,864.688
