Event,Time
2,32.689
4,46.118
5,60.2
7,69.466
9,76.666
11,85.346
12,96.235
13,102.838
14,109.135
16,114.133
17,119.018
18,123.95
19,130.324
21,136.315
23,148.853
24,166.147
25,175.826
27,180.951
28,186.92
29,192.225
31,203.28
32,209.069
33,214.08
34,220.711
36,228.602
37,234.386
38,242.279
40,250.673
41,260.358
43,268.942
45,274.419
46,281.556
48,288.42
49,295.452
50,300.438
51,305.68
52,309.765
53,315.358
54,320.784
56,326.235
58,338.348
59,350.075
60,354.565
62,359.158
64,363.988
66,369.453
67,373.336
68,377.688
70,381.829
71,387.168
72,391.645
73,396.441
74,400.667
76,530.012
77,545.316
79,549.826
80,554.641
82,559.844
83,564.704
84,569
85,574.892
87,584.939
88,591.537
90,595.702
93,613.243
95,621.246
98,630.496
99,635.428
101,639.931
104,650.54
105,656.114
