Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	19.763	0.000	0.000	0.000	79.9	32.6	122.6	29.9
2	23.221	0.000	0.000	0.000	75.9	28.1	118.5	51.2
3	27.139	0.000	0.000	0.000	78.3	30.9	120.8	52.9
4	31.023	0.000	0.000	0.000	78.5	31.3	121.3	53.0
5	35.189	0.000	0.000	0.000	86.0	38.9	129.0	37.8
6	39.423	0.000	0.000	0.000	78.1	30.0	119.7	53.9
7	43.162	0.000	0.000	0.000	79.1	30.6	121.0	28.3
8	46.923	0.000	0.000	0.000	78.5	28.5	357.6	53.2
9	54.965	0.000	0.000	0.000	83.0	35.1	363.3	55.5
10	58.704	0.000	0.000	0.000	78.7	31.6	122.0	53.5
11	62.137	0.000	0.000	0.000	78.3	30.8	121.3	28.7
12	65.586	0.000	0.000	0.000	77.8	29.4	119.6	52.9
13	70.198	0.000	0.000	0.000	79.4	30.8	121.4	28.6
14	76.129	0.000	0.000	0.000	79.5	32.2	123.0	31.4
15	80.239	0.000	0.000	0.000	79.0	31.3	121.7	53.7
16	83.791	0.000	0.000	0.000	84.4	37.7	127.7	59.3
17	87.826	0.000	0.000	0.000	78.9	31.3	122.0	51.0
18	91.967	0.000	0.000	0.000	86.8	35.9	349.4	34.3
19	91.971	0.000	0.000	0.000	77.3	57.4	115.9	52.1
20	100.348	0.000	0.000	0.000	77.1	27.8	388.7	24.4
21	104.009	0.000	0.000	0.000	77.2	28.7	120.4	26.1
22	119.024	0.000	0.000	0.000	76.9	27.1	117.9	23.6
23	122.565	0.000	0.000	0.000	74.4	25.4	117.2	22.7
24	126.008	0.000	0.000	0.000	75.7	27.1	118.3	23.7
25	129.349	0.000	0.000	0.000	75.2	27.1	118.2	23.9
26	134.223	0.000	0.000	0.000	75.8	168.1	308.0	23.8
27	138.171	0.000	0.000	0.000	75.9	28.4	119.8	25.4
28	141.812	0.000	0.000	0.000	76.8	27.4	118.9	24.5
29	145.267	0.000	0.000	0.000	75.9	29.1	120.1	25.8
30	150.418	0.000	0.000	0.000	77.1	29.2	118.9	24.0
31	153.921	0.000	0.000	0.000	77.6	29.5	120.1	53.4
32	156.966	0.000	0.000	0.000	75.6	27.1	118.7	24.4
33	160.179	0.000	0.000	0.000	75.6	27.5	118.6	24.4
34	163.312	0.000	0.000	0.000	75.8	27.0	119.0	24.0
35	166.019	0.000	0.000	0.000	75.3	26.3	116.8	22.6
36	169.386	0.000	0.000	0.000	76.9	28.5	122.0	25.2
37	169.458	0.000	0.000	0.000	72.4	59.9	343.7	400.1
38	173.546	0.000	0.000	0.000	75.1	26.1	117.5	23.0
39	188.040	0.000	0.000	0.000	76.6	29.0	121.2	26.9
40	196.425	0.000	0.000	0.000	78.4	29.1	120.2	25.5
41	199.869	0.000	0.000	0.000	75.7	27.1	118.7	23.9
42	203.432	0.000	0.000	0.000	74.9	26.6	117.4	23.3
43	207.303	0.000	0.000	0.000	75.5	26.9	118.4	24.0
44	210.509	0.000	0.000	0.000	75.4	27.1	118.1	23.8
45	222.248	0.000	0.000	0.000	76.0	28.3	119.6	25.3
46	225.359	0.000	0.000	0.000	77.4	28.6	121.2	25.1
47	229.250	0.000	0.000	0.000	74.7	25.6	116.2	22.3
48	232.783	0.000	0.000	0.000	75.6	27.9	119.3	25.0
49	236.928	0.000	0.000	0.000	76.0	27.5	119.5	24.5
50	242.452	0.000	0.000	0.000	75.3	26.7	118.2	23.1
