Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	21.999	0.000	0.000	0.000	34.5	78.5	98.4	119.5
2	32.271	0.000	0.000	0.000	34.1	78.2	97.7	118.4
3	39.503	0.000	0.000	0.000	33.9	77.9	97.7	118.4
4	45.664	0.000	0.000	0.000	34.2	77.8	98.3	119.4
5	62.339	0.000	0.000	0.000	34.4	78.0	98.5	119.5
6	71.881	0.000	0.000	0.000	34.3	77.9	98.5	119.4
7	79.021	0.000	0.000	0.000	34.3	78.1	98.1	118.7
8	87.985	0.000	0.000	0.000	34.3	78.0	98.2	118.9
9	94.100	0.000	0.000	0.000	34.5	77.9	98.8	119.7
10	121.342	0.000	0.000	0.000	34.2	77.9	98.1	118.7
11	127.551	0.000	0.000	0.000	34.3	77.9	98.1	118.7
12	134.329	0.000	0.000	0.000	34.2	77.9	98.1	118.7
13	142.565	0.000	0.000	0.000	34.4	77.8	99.0	120.0
14	354.865	0.000	0.000	0.000	34.5	77.9	100.9	123.9
15	354.875	0.000	0.000	0.000	131.3	11.2	35.9	36.8
16	480.919	0.000	0.000	0.000	34.8	78.0	99.9	121.4
17	496.736	0.000	0.000	0.000	34.7	77.9	100.3	122.2
18	505.277	0.000	0.000	0.000	34.7	77.8	99.9	121.4
19	510.975	0.000	0.000	0.000	34.9	78.0	99.9	121.1
20	517.315	0.000	0.000	0.000	34.7	77.9	99.7	120.8
21	523.269	0.000	0.000	0.000	34.7	77.8	99.7	120.8
22	528.811	0.000	0.000	0.000	34.7	78.0	99.0	119.6
23	535.861	0.000	0.000	0.000	34.7	77.9	99.7	120.8
24	541.097	0.000	0.000	0.000	34.8	77.9	100.0	121.4
25	546.722	0.000	0.000	0.000	34.7	77.8	99.1	119.9
26	551.906	0.000	0.000	0.000	34.7	77.9	99.3	119.9
27	558.740	0.000	0.000	0.000	34.7	77.9	99.9	121.2
28	566.297	0.000	0.000	0.000	34.8	77.9	100.0	121.4
29	574.769	0.000	0.000	0.000	34.6	77.6	100.5	123.0
30	579.673	0.000	0.000	0.000	34.7	77.7	99.2	119.9
31	586.990	0.000	0.000	0.000	33.8	77.6	97.4	117.1
32	593.179	0.000	0.000	0.000	34.7	77.9	99.7	120.7
33	596.916	0.000	0.000	0.000	43.5	89.7	115.9	135.9
34	596.931	0.000	0.000	0.000	39.3	82.8	105.0	125.1
35	596.937	0.000	0.000	0.000	36.4	80.6	102.8	123.6
36	596.940	0.000	0.000	0.000	35.6	80.2	101.5	122.4
37	603.636	0.000	0.000	0.000	34.7	78.0	99.2	119.8
38	607.775	0.000	0.000	0.000	34.4	77.9	98.3	118.3
39	614.832	0.000	0.000	0.000	34.6	77.9	99.0	119.5
40	622.729	0.000	0.000	0.000	34.4	78.0	98.4	118.5
41	629.478	0.000	0.000	0.000	34.6	77.9	99.2	119.7
42	635.085	0.000	0.000	0.000	34.6	78.0	98.8	119.0
43	642.018	0.000	0.000	0.000	34.7	78.0	99.2	119.7
44	648.940	0.000	0.000	0.000	34.7	78.0	99.3	119.7
45	655.431	0.000	0.000	0.000	34.5	77.8	98.2	118.4
46	667.077	0.000	0.000	0.000	34.8	78.1	99.7	120.4
47	674.282	0.000	0.000	0.000	34.7	78.0	99.5	120.1
48	684.903	0.000	0.000	0.000	34.7	78.0	99.2	119.7
49	690.677	0.000	0.000	0.000	34.7	78.1	99.4	120.0
50	698.274	0.000	0.000	0.000	34.5	78.1	98.5	118.5
