Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	16.485	0.000	0.000	0.000	35.0	78.1	98.8	121.3
2	24.243	0.000	0.000	0.000	35.0	78.0	98.5	120.6
3	29.910	0.000	0.000	0.000	35.9	79.5	101.5	134.6
4	29.913	0.000	0.000	0.000	75.9	13.1	118.0	395.9
5	29.972	0.000	0.000	0.000	31.4	74.4	96.1	121.8
6	223.205	0.000	0.000	0.000	31.0	72.9	93.0	110.3
7	223.208	0.000	0.000	0.000	70.6	33.0	42.7	59.1
8	234.409	0.000	0.000	0.000	34.2	77.4	96.9	117.8
9	239.823	0.000	0.000	0.000	32.4	125.6	95.3	115.3
10	247.096	0.000	0.000	0.000	33.9	129.0	96.2	116.9
11	256.197	0.000	0.000	0.000	33.7	126.2	96.3	117.0
12	261.533	0.000	0.000	0.000	33.8	126.3	96.3	117.0
13	266.649	0.000	0.000	0.000	33.4	126.0	95.9	116.3
14	271.579	0.000	0.000	0.000	33.2	125.9	95.8	116.2
15	278.574	0.000	0.000	0.000	33.9	77.0	96.7	117.5
16	284.688	0.000	0.000	0.000	34.1	77.5	97.2	118.2
17	289.107	0.000	0.000	0.000	33.7	126.2	96.3	116.9
18	294.758	0.000	0.000	0.000	33.8	76.6	96.5	117.2
19	301.829	0.000	0.000	0.000	33.7	126.2	96.3	116.9
20	317.445	0.000	0.000	0.000	34.0	76.4	96.4	117.4
21	323.057	0.000	0.000	0.000	33.5	126.1	96.2	116.7
22	326.454	0.000	0.000	0.000	33.3	126.0	96.1	116.5
23	336.311	0.000	0.000	0.000	34.4	77.7	97.5	118.7
24	340.457	0.000	0.000	0.000	34.2	77.5	97.0	117.9
25	344.546	0.000	0.000	0.000	34.1	77.3	96.9	117.7
26	348.079	0.000	0.000	0.000	33.9	126.3	96.4	117.0
27	352.963	0.000	0.000	0.000	199.5	88.7	110.1	130.2
28	352.966	0.000	0.000	0.000	75.8	148.3	50.2	181.2
29	361.122	0.000	0.000	0.000	33.8	126.3	96.3	116.9
30	365.238	0.000	0.000	0.000	33.8	126.3	96.4	116.9
31	371.181	0.000	0.000	0.000	33.8	126.3	96.3	116.9
32	376.062	0.000	0.000	0.000	34.3	77.5	97.0	117.8
33	382.119	0.000	0.000	0.000	34.1	77.1	96.8	117.5
34	386.094	0.000	0.000	0.000	34.1	77.3	96.9	117.7
35	391.608	0.000	0.000	0.000	34.0	76.8	96.7	117.4
36	396.207	0.000	0.000	0.000	34.3	77.6	97.2	118.1
37	405.721	0.000	0.000	0.000	34.3	77.7	97.3	118.2
38	411.213	0.000	0.000	0.000	34.3	77.7	97.4	118.5
39	416.225	0.000	0.000	0.000	33.5	400.7	96.3	116.9
40	419.619	0.000	0.000	0.000	33.8	126.3	96.4	117.0
41	423.662	0.000	0.000	0.000	34.1	77.3	97.0	117.8
42	426.759	0.000	0.000	0.000	33.7	126.2	96.4	116.9
43	430.622	0.000	0.000	0.000	33.8	76.8	96.7	117.4
44	433.837	0.000	0.000	0.000	33.4	126.0	96.2	116.7
45	436.896	0.000	0.000	0.000	33.8	76.9	96.7	117.4
46	439.860	0.000	0.000	0.000	33.6	126.2	96.4	116.9
47	443.402	0.000	0.000	0.000	34.0	77.3	97.0	117.7
48	448.496	0.000	0.000	0.000	34.0	77.5	97.2	118.3
49	452.972	0.000	0.000	0.000	34.2	77.5	97.1	117.9
50	454.801	0.000	0.000	0.000	33.2	125.9	96.0	116.3
