Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2
1	6.630				308.4	292.8
2	6.632				75.6	393.4
3	12.542				61.8	229.9
4	12.545				141.8	180.1
5	19.664				62.0	181.6
6	19.667				300.6	391.8
7	25.653				62.3	180.2
8	25.655				191.5	54.5
9	34.718				60.0	384.0
10	34.721				395.9	159.6
11	41.180				61.0	296.7
12	41.182				174.6	85.7
13	47.229				59.6	325.2
14	47.232				307.4	385.8
15	51.595				309.2	296.0
16	51.598				72.0	397.0
17	63.326				59.2	225.6
18	63.328				300.8	297.7
19	71.980				59.9	226.4
20	71.982				243.2	327.3
21	78.525				61.1	229.1
22	78.527				95.0	269.2
23	101.008				59.9	329.5
24	101.010				309.1	241.8
25	109.722				61.9	180.9
26	109.724				241.0	134.0
27	113.753				62.1	181.0
28	113.756				216.4	113.3
29	117.404				62.2	232.0
30	117.406				242.2	327.0
31	122.470				61.2	177.1
32	122.473				129.1	140.2
33	141.255				262.1	235.8
34	141.257				220.5	201.1
35	149.140				62.8	336.1
36	149.143				212.0	192.7
37	156.443				62.4	325.4
38	156.446				99.2	119.7
39	163.894				59.7	328.2
40	163.896				63.7	96.1
41	170.873				60.5	230.1
42	170.875				84.2	164.1
43	180.503				62.2	233.2
44	180.506				58.4	176.9
45	187.893				248.2	373.2
46	187.895				99.5	127.6
47	198.009				61.4	285.6
48	198.011				200.4	85.6
49	204.572				61.8	332.0
50	204.574				88.7	86.7
51	211.058				266.4	332.4
52	211.061				309.1	202.5
