Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2
1	155.924				66.4	72.6
2	155.926				356.7	148.7
3	166.617				71.2	77.4
4	166.619				216.7	148.9
5	171.595				70.6	77.7
6	171.598				93.2	50.6
7	175.829				72.4	78.3
8	175.831				41.6	154.0
9	185.543				72.8	80.8
10	185.545				36.8	203.5
11	185.606				43.8	54.7
12	191.677				67.3	73.1
13	191.679				354.8	164.7
14	197.697				69.1	75.6
15	197.700				345.5	154.9
16	202.894				71.9	78.2
17	202.897				179.9	154.6
18	207.471				71.1	77.4
19	207.474				216.7	152.3
20	211.235				70.5	76.6
21	211.238				223.5	156.6
22	214.860				72.6	78.7
23	214.863				216.7	155.5
24	218.831				231.9	79.1
25	218.834				149.5	110.0
26	222.407				66.4	73.0
27	222.409				179.8	103.2
28	225.659				70.9	77.1
29	225.662				180.4	108.1
30	232.007				67.4	389.9
31	232.009				154.0	83.5
32	235.963				72.7	78.9
33	235.965				29.7	153.3
34	239.644				72.3	77.8
35	239.647				41.6	151.6
36	243.429				113.4	379.6
37	243.432				21.5	126.9
38	243.507				35.6	41.2
39	250.930				114.1	76.3
40	250.933				46.5	175.0
41	257.771				71.6	78.0
42	257.774				222.0	146.8
43	262.305				70.9	274.2
44	262.308				217.2	137.5
45	265.839				72.9	79.5
46	265.841				181.7	114.6
47	268.968				308.9	77.8
48	268.971				226.7	350.6
49	272.296				70.5	76.8
50	272.299				344.0	147.1
51	280.267				73.1	78.3
52	280.269				233.4	170.9
53	280.389				36.7	45.4
