Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2
1	311.959				349.4	50.2
2	311.962				377.7	207.1
3	329.002				78.5	49.2
4	338.055				79.7	49.3
5	344.716				80.6	50.1
6	344.718				272.9	28.7
7	349.007				80.5	50.0
8	349.009				163.9	89.3
9	353.890				80.1	49.8
10	353.893				148.9	146.6
11	358.888				78.3	48.0
12	358.890				367.6	283.1
13	364.089				78.2	48.1
14	364.092				161.5	84.6
15	394.682				80.5	50.0
16	394.684				164.7	89.1
17	401.684				81.1	50.7
18	401.687				367.2	215.7
19	408.597				80.5	50.0
20	408.599				221.3	62.6
21	413.724				81.1	50.3
22	419.827				80.8	50.3
23	425.592				81.0	50.0
24	425.594				34.7	94.9
25	438.492				80.7	50.2
26	444.298				80.9	50.2
27	449.818				80.6	50.2
28	449.821				163.7	85.1
29	455.091				78.8	49.1
30	455.094				365.7	283.6
31	460.054				79.7	49.2
32	464.587				80.7	50.2
33	464.590				156.1	78.8
34	469.982				79.8	51.8
35	478.942				80.6	50.2
36	478.945				366.7	27.4
37	487.856				79.7	49.6
38	487.858				64.4	152.6
39	596.094				80.4	50.0
40	605.320				81.1	50.3
41	605.323				157.9	66.0
42	610.619				80.7	50.4
43	610.621				162.3	87.8
44	615.431				80.8	50.2
45	615.434				86.1	110.3
46	619.096				81.1	50.4
47	619.099				100.8	280.8
48	623.519				80.8	50.3
49	623.522				163.5	87.6
50	627.778				81.0	50.4
51	627.780				164.1	89.4
52	632.360				80.7	50.1
53	632.363				26.8	149.6
54	636.309				341.1	49.8
55	636.312				181.9	124.5
56	640.704				80.7	49.9
