Event No.	Time	X	Y	Z	Arr Time 1
1	6.717				81.3
2	6.719				71.0
3	12.780				80.5
4	12.783				73.3
5	18.308				97.3
6	18.310				98.0
7	26.725				76.6
8	26.727				19.8
9	33.032				77.7
10	33.034				24.2
11	33.037				25.5
12	40.361				79.1
13	40.363				26.1
14	46.122				80.4
15	46.124				77.9
16	52.001				79.7
17	52.003				66.0
18	58.471				76.4
19	58.474				81.3
20	69.688				79.6
21	69.690				22.4
22	75.093				79.3
23	75.095				22.0
24	80.704				77.3
25	80.706				94.9
26	80.709				2.3
27	86.132				79.0
28	86.134				23.4
29	89.764				82.9
30	89.766				24.6
31	102.322				77.4
32	102.324				24.0
33	106.267				79.1
34	106.269				22.1
35	111.042				79.2
36	111.044				24.7
37	117.834				78.7
38	117.837				98.3
39	122.895				82.0
40	122.897				1.7
41	128.727				76.3
42	128.729				75.6
43	128.813				27.7
44	133.942				78.1
45	133.944				9.3
46	138.669				76.6
47	138.671				23.4
48	143.358				78.6
49	143.360				24.3
50	147.555				78.0
51	147.558				19.6
52	150.725				79.0
53	150.727				25.2
54	155.492				81.1
55	155.494				23.7
56	158.710				86.0
57	158.712				77.2
58	163.201				79.3
59	163.204				94.5
60	167.564				97.3
61	167.566				61.2
62	167.571				42.7
63	175.097				78.7
64	175.099				79.2
65	175.103				54.9
66	179.758				82.9
67	179.760				81.8
68	179.767				41.0
69	184.831				77.8
70	184.833				23.8
71	191.526				79.4
72	191.528				21.5
73	196.724				99.0
74	196.726				98.4
