Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	10.372	0.000	0.000	0.000	48.1	46.0	22.3	33.0
2	20.183	0.000	0.000	0.000	48.2	45.9	22.6	364.0
3	31.067	0.000	0.000	0.000	51.6	49.5	26.0	37.7
4	36.729	0.000	0.000	0.000	50.5	49.5	93.4	33.0
5	41.989	0.000	0.000	0.000	50.7	49.4	94.2	34.9
6	47.588	0.000	0.000	0.000	51.3	49.2	25.6	177.5
7	55.271	0.000	0.000	0.000	48.4	46.6	21.9	33.8
8	62.077	0.000	0.000	0.000	48.2	46.4	21.8	33.7
9	77.982	0.000	0.000	0.000	48.8	46.6	23.1	304.8
10	84.102	0.000	0.000	0.000	49.0	46.7	23.4	33.4
11	97.635	0.000	0.000	0.000	51.0	48.9	25.3	36.6
12	110.931	0.000	0.000	0.000	49.0	47.7	21.9	33.2
13	116.262	0.000	0.000	0.000	48.9	47.0	22.8	33.7
14	122.669	0.000	0.000	0.000	48.7	46.5	23.0	34.0
15	127.634	0.000	0.000	0.000	48.7	46.9	22.6	33.8
16	133.500	0.000	0.000	0.000	48.6	46.6	22.4	33.9
17	138.311	0.000	0.000	0.000	49.6	47.5	23.5	32.9
18	143.417	0.000	0.000	0.000	51.1	49.0	25.3	36.9
19	169.030	0.000	0.000	0.000	48.7	46.9	22.2	31.8
20	176.960	0.000	0.000	0.000	48.6	46.8	22.7	34.5
21	189.590	0.000	0.000	0.000	48.7	46.4	23.0	33.9
22	206.406	0.000	0.000	0.000	53.4	50.8	28.8	38.8
23	215.293	0.000	0.000	0.000	51.4	49.9	23.9	33.5
24	220.543	0.000	0.000	0.000	52.0	50.0	96.2	34.7
25	227.211	0.000	0.000	0.000	48.2	46.5	22.1	31.9
26	249.550	0.000	0.000	0.000	48.6	47.2	21.8	32.9
27	256.616	0.000	0.000	0.000	49.5	48.5	93.8	33.2
28	263.216	0.000	0.000	0.000	46.8	44.8	21.0	28.8
29	268.443	0.000	0.000	0.000	48.9	46.9	23.0	33.6
30	280.458	0.000	0.000	0.000	51.4	48.6	28.6	38.4
31	291.687	0.000	0.000	0.000	53.1	50.7	98.8	37.2
32	301.344	0.000	0.000	0.000	50.1	48.6	22.9	32.5
33	306.540	0.000	0.000	0.000	50.7	49.1	24.0	35.8
34	312.278	0.000	0.000	0.000	49.2	48.0	22.0	32.5
35	329.911	0.000	0.000	0.000	47.5	45.6	21.2	29.9
36	336.217	0.000	0.000	0.000	47.5	45.5	21.2	29.2
37	342.140	0.000	0.000	0.000	52.8	51.9	95.5	35.6
38	348.417	0.000	0.000	0.000	48.8	46.9	22.8	33.7
39	354.898	0.000	0.000	0.000	48.6	47.1	22.3	33.6
40	365.113	0.000	0.000	0.000	50.3	48.9	23.2	32.9
41	372.883	0.000	0.000	0.000	50.4	48.4	23.9	33.8
42	392.517	0.000	0.000	0.000	46.8	45.0	19.8	28.9
43	398.668	0.000	0.000	0.000	51.5	49.5	25.3	35.4
44	403.540	0.000	0.000	0.000	49.6	48.4	22.0	32.5
45	408.769	0.000	0.000	0.000	49.3	48.1	22.1	32.7
46	415.190	0.000	0.000	0.000	50.2	49.1	22.7	33.0
47	421.380	0.000	0.000	0.000	51.5	50.9	93.4	32.9
48	438.302	0.000	0.000	0.000	48.9	46.7	23.2	32.8
49	451.351	0.000	0.000	0.000	48.7	46.9	23.1	34.3
50	456.694	0.000	0.000	0.000	48.7	46.7	23.1	33.5
