Event No.	Time	X	Y	Z	Arr Time 1
1	6.714				90.6
2	6.716				18.2
3	13.367				89.6
4	13.370				91.2
5	24.420				34.8
6	28.749				100.5
7	33.700				34.6
8	33.703				97.3
9	38.380				34.1
10	43.582				34.7
11	48.304				89.8
12	48.307				29.3
13	52.332				90.5
14	52.334				36.4
15	56.523				89.4
16	56.526				47.4
17	60.874				34.5
18	65.254				33.9
19	65.256				69.1
20	69.252				89.6
21	72.850				35.2
22	72.852				24.7
23	76.512				90.3
24	76.514				23.1
25	85.521				33.7
