1.41E-07,-0.001787815
3.68E-07,-0.002020547
5.96E-07,-0.001898903
8.23E-07,-0.001777259
1.05E-06,-0.001655615
1.28E-06,-0.001533971
1.50E-06,-0.001412327
1.73E-06,-0.001290684
1.96E-06,-0.00116904
2.19E-06,-0.001047396
2.41E-06,-0.000925752
2.64E-06,-0.000804108
2.87E-06,-0.001745592
3.10E-06,-0.006939584
3.32E-06,-0.010716074
3.55E-06,-0.020871327
3.78E-06,-0.040240351
4.00E-06,-0.072012526
4.23E-06,-0.126110375
4.44E-06,-0.200379327
4.61E-06,-0.287235362
4.76E-06,-0.379088934
4.87E-06,-0.466606177
4.97E-06,-0.559326462
5.07E-06,-0.651467555
5.15E-06,-0.740105858
5.23E-06,-0.832642294
5.32E-06,-0.92810233
5.40E-06,-1.0274605
5.48E-06,-1.130716803
5.55E-06,-1.227156902
5.62E-06,-1.308984529
5.68E-06,-1.396009668
5.74E-06,-1.481735429
5.80E-06,-1.572658701
5.86E-06,-1.663581973
5.93E-06,-1.754505246
5.99E-06,-1.846727896
6.05E-06,-1.938950546
6.11E-06,-2.029873818
6.17E-06,-2.124695224
6.23E-06,-2.213019741
6.30E-06,-2.301344257
6.36E-06,-2.385770641
6.43E-06,-2.480911362
6.51E-06,-2.583193131
6.60E-06,-2.672805967
6.69E-06,-2.760074394
6.82E-06,-2.85102393
7.02E-06,-2.88520473
7.19E-06,-2.812823604
7.28E-06,-2.726040371
7.34E-06,-2.633425419
7.40E-06,-2.542178132
7.44E-06,-2.440413625
7.47E-06,-2.357886545
7.52E-06,-2.250533608
7.57E-06,-2.097698023
7.62E-06,-1.944282142
7.66E-06,-1.808798043
7.70E-06,-1.665716271
7.75E-06,-1.482609975
7.78E-06,-1.339008451
7.80E-06,-1.224652143
7.83E-06,-1.12588837
7.86E-06,-1.017373734
7.87E-06,-0.938755846
7.89E-06,-0.842590828
7.91E-06,-0.724008778
7.93E-06,-0.618748116
7.97E-06,-0.495350627
7.99E-06,-0.374759518
8.04E-06,-0.257529097
8.16E-06,-0.133931775
8.34E-06,-0.084624642
8.53E-06,-0.012890584
8.76E-06,0.002469218
8.98E-06,0.002590862
9.21E-06,0.002712506
9.44E-06,0.00283415
9.66E-06,0.002955794
9.89E-06,0.000596807
1.01E-05,-0.001053428
1.03E-05,-0.004475542
1.06E-05,-0.004353898
1.08E-05,-0.005649757
1.10E-05,-0.008008743
1.13E-05,-0.010013354
1.15E-05,-0.018396729
1.17E-05,-0.022527594
