time,side_mid_sensor_1,side_mid_sensor_2,side_upper_sensor_1,side_upper_sensor_2,top_sensor_1,top_sensor_2,top_edge_sensor_1,top_edge_sensor_2
3.51607E-06,1.40133E-20,0,8.61602E-16,0,1.88953E-15,0,-1.09066E-15,0
3.55215E-06,4.49824E-20,0,7.28713E-16,0,1.43895E-15,0,-4.30087E-16,0
3.58823E-06,1.72253E-19,0,-1.78738E-16,0,2.76643E-16,0,4.73519E-16,0
3.62432E-06,5.96878E-19,0,-1.25626E-15,0,-1.61827E-15,0,1.21942E-15,0
3.66039E-06,1.10514E-18,0,-1.62969E-15,0,-3.8703E-15,0,1.84104E-15,0
3.69647E-06,9.95992E-19,0,-1.18521E-15,0,-5.67999E-15,0,2.02941E-15,0
3.73255E-06,2.48276E-20,0,-4.88869E-16,0,-6.13582E-15,0,1.22523E-15,0
3.76863E-06,-7.80631E-19,0,8.89289E-17,0,-4.75926E-15,0,-3.27932E-16,0
3.8047E-06,-2.37717E-19,0,5.97139E-16,0,-1.65838E-15,0,-1.59192E-15,0
3.84077E-06,1.13242E-18,0,1.05115E-15,0,2.62689E-15,0,-2.00178E-15,0
3.87685E-06,2.45934E-18,0,1.38501E-15,0,7.12968E-15,0,-2.00565E-15,0
3.91292E-06,6.91056E-18,0,1.77527E-15,0,1.05326E-14,0,-2.22228E-15,0
3.94899E-06,2.19764E-17,0,2.38664E-15,0,1.1604E-14,0,-2.60013E-15,0
3.98506E-06,5.25846E-17,0,2.7108E-15,0,9.68383E-15,0,-2.4814E-15,0
4.02113E-06,9.79874E-17,0,1.71296E-15,0,4.92454E-15,0,-1.11671E-15,0
4.0572E-06,1.62964E-16,0,-1.04409E-15,0,-1.70296E-15,0,1.85907E-15,0
4.09327E-06,2.7065E-16,0,-4.61878E-15,0,-8.62143E-15,0,5.96989E-15,0
4.12934E-06,4.54944E-16,0,-7.17732E-15,0,-1.39934E-14,0,9.66265E-15,0
4.1654E-06,7.43306E-16,0,-7.13988E-15,0,-1.60684E-14,0,1.08573E-14,0
4.20147E-06,1.16853E-15,0,-3.94405E-15,0,-1.35923E-14,4.8251E-30,8.24858E-15,0
4.23753E-06,1.80862E-15,0,1.81348E-15,0,-6.33959E-15,2.12699E-28,2.35605E-15,0
4.2736E-06,2.79611E-15,0,8.62294E-15,0,4.45392E-15,4.45011E-27,-4.53314E-15,0
4.30966E-06,4.27307E-15,0,1.4666E-14,3.11912E-31,1.61354E-14,5.89197E-26,-9.34417E-15,-1.43945E-30
4.34572E-06,6.36494E-15,0,1.86606E-14,1.24886E-29,2.53842E-14,5.52137E-25,-9.44588E-15,-6.31438E-29
4.38178E-06,9.23356E-15,0,2.03885E-14,2.66979E-28,2.94425E-14,3.87552E-24,-3.64468E-15,-1.31941E-27
4.41784E-06,1.31315E-14,0,2.04942E-14,3.78596E-27,2.71502E-14,2.09883E-23,7.48344E-15,-1.74153E-26
4.4539E-06,1.83477E-14,0,1.9921E-14,3.81563E-26,1.92842E-14,8.86794E-23,2.21461E-14,-1.62256E-25
4.48996E-06,2.51083E-14,-2.09216E-34,1.96975E-14,2.89131E-25,8.34438E-15,2.8991E-22,3.8313E-14,-1.12793E-24
4.52602E-06,3.35992E-14,-1.18359E-30,2.12521E-14,1.69845E-24,-1.92712E-15,7.02715E-22,5.43279E-14,-6.01402E-24
4.56208E-06,4.40905E-14,-5.0682E-30,2.6731E-14,7.8347E-24,-7.44532E-15,1.08338E-21,6.89481E-14,-2.47721E-23
4.59814E-06,5.69437E-14,-1.7503E-29,3.87042E-14,2.82459E-23,-5.28138E-15,1.70847E-22,8.12975E-14,-7.7473E-23
4.6342E-06,7.24461E-14,-4.88315E-29,5.91533E-14,7.69795E-23,4.80127E-15,-4.59962E-21,9.11184E-14,-1.71491E-22
4.67025E-06,9.07104E-14,-9.31297E-29,8.82361E-14,1.41422E-22,1.98337E-14,-1.44717E-20,9.91772E-14,-1.96905E-22
4.70631E-06,1.11784E-13,-7.46259E-29,1.23598E-13,8.34753E-23,3.45666E-14,-2.18906E-20,1.07503E-13,2.6383E-22
4.74236E-06,1.35737E-13,2.11517E-28,1.60789E-13,-4.84216E-22,4.31868E-14,-4.81397E-21,1.19287E-13,1.89294E-21
4.77842E-06,1.62493E-13,9.8291E-28,1.94757E-13,-2.01261E-21,4.10354E-14,5.70916E-20,1.38245E-13,4.54651E-21
4.81447E-06,1.91591E-13,1.90449E-27,2.21767E-13,-3.90238E-21,2.61197E-14,1.33354E-19,1.67307E-13,4.81753E-21
4.85052E-06,2.22212E-13,1.34056E-27,2.40856E-13,-2.62437E-21,2.59172E-16,1.10267E-19,2.07031E-13,-4.73431E-21
4.88658E-06,2.53417E-13,-2.9503E-27,2.54122E-13,7.85263E-21,-3.07691E-14,-1.16578E-19,2.54656E-13,-2.76504E-20
4.92263E-06,2.84203E-13,-9.84906E-27,2.65704E-13,2.78583E-20,-5.86349E-14,-4.19221E-19,3.04314E-13,-4.58133E-20
4.95868E-06,3.13363E-13,-1.0498E-26,2.80003E-13,3.74765E-20,-7.51028E-14,-3.72375E-19,3.48331E-13,-1.4614E-20
4.99473E-06,3.39475E-13,6.01947E-27,3.00048E-13,-2.66511E-21,-7.49161E-14,2.92015E-19,3.79221E-13,9.04653E-20
5.03078E-06,3.61174E-13,3.13789E-26,3.26576E-13,-1.04834E-19,-5.78434E-14,1.00328E-18,3.91948E-13,1.90051E-19
5.06683E-06,3.77392E-13,2.53822E-26,3.57726E-13,-1.82035E-19,-2.91621E-14,5.7661E-19,3.85793E-13,1.07267E-19
5.10288E-06,3.87287E-13,-4.21024E-26,3.89052E-13,-6.64105E-20,1.65207E-15,-1.17192E-18,3.64968E-13,-2.17054E-19
5.13893E-06,3.90081E-13,-1.0756E-25,4.13912E-13,2.80912E-19,2.37063E-14,-2.28314E-18,3.37487E-13,-4.80757E-19
5.17498E-06,3.85111E-13,-2.28665E-26,4.24638E-13,5.36542E-19,2.81948E-14,-5.30223E-19,3.12512E-13,-2.14849E-19
5.21102E-06,3.72029E-13,2.34063E-25,4.14616E-13,1.98712E-19,1.16298E-14,3.01706E-18,2.97002E-13,5.21731E-19
5.24707E-06,3.50878E-13,3.57381E-25,3.80788E-13,-6.99823E-19,-2.23391E-14,4.10394E-18,2.92831E-13,8.51241E-19
5.28312E-06,3.22017E-13,-3.15862E-26,3.25607E-13,-1.17212E-18,-6.34721E-14,6.76836E-19,2.95622E-13,6.39162E-20
5.31916E-06,2.8613E-13,-7.18856E-25,2.57412E-13,-1.90773E-19,-9.79681E-14,-3.56989E-18,2.96055E-13,-1.10695E-18
5.35521E-06,2.44382E-13,-7.82648E-25,1.88555E-13,1.6571E-18,-1.1295E-13,-3.8751E-18,2.83387E-13,-1.11249E-18
5.39125E-06,1.9855E-13,2.73006E-25,1.31593E-13,2.15627E-18,-1.0078E-13,-1.05854E-18,2.49906E-13,1.54587E-19
5.4273E-06,1.50964E-13,1.3727E-24,9.48941E-14,4.79721E-20,-6.17749E-14,6.46278E-19,1.9452E-13,1.02447E-18
5.46334E-06,1.04323E-13,8.51869E-25,7.96287E-14,-2.82061E-18,-4.47141E-15,8.53785E-19,1.23975E-13,8.33235E-19
5.49938E-06,6.14879E-14,-1.019E-24,7.95616E-14,-3.3178E-18,5.67644E-14,1.93147E-18,5.10516E-14,1.10059E-18
5.53543E-06,2.52248E-14,-1.75519E-24,8.3805E-14,-8.8444E-19,1.06159E-13,1.67745E-18,-9.52309E-15,1.99708E-18
5.57147E-06,-2.10427E-15,-3.42855E-26,8.135E-14,2.13343E-18,1.31616E-13,-3.83814E-18,-4.57488E-14,3.51155E-19
5.60751E-06,-1.88467E-14,1.9629E-24,6.54823E-14,3.89191E-18,1.28693E-13,-9.10121E-18,-5.18002E-14,-4.73842E-18
5.64355E-06,-2.42678E-14,1.6053E-24,3.63647E-14,4.13045E-18,1.01968E-13,-2.39182E-18,-2.92293E-14,-7.04891E-18
5.67959E-06,-1.86277E-14,-2.92913E-26,9.59732E-16,1.71534E-18,6.31019E-14,1.50578E-17,1.40656E-14,-8.82733E-19
5.71563E-06,-3.11335E-15,-3.10502E-25,-2.94362E-14,-4.32886E-18,2.62044E-14,2.47084E-17,6.63852E-14,7.90348E-18
5.75167E-06,2.03793E-14,-4.96359E-25,-4.3011E-14,-9.39299E-18,2.28496E-15,1.32625E-17,1.15349E-13,7.72006E-18
5.78771E-06,4.95387E-14,-3.75182E-24,-3.13653E-14,-5.03907E-18,-4.94659E-15,-9.83617E-18,1.50771E-13,-1.58837E-18
5.82375E-06,8.18511E-14,-7.01768E-24,7.50795E-15,8.37357E-18,-2.00924E-16,-2.50805E-17,1.66751E-13,-8.08121E-18
5.85979E-06,1.14658E-13,-2.38396E-24,6.79755E-14,1.63752E-17,5.87583E-15,-2.44943E-17,1.62679E-13,-5.59838E-18
5.89583E-06,1.4515E-13,9.01284E-24,1.37726E-13,6.27446E-18,1.84692E-15,-1.37026E-17,1.43035E-13,3.15514E-19
5.93187E-06,1.70441E-13,1.2942E-23,2.00929E-13,-1.46387E-17,-1.88803E-14,-1.47679E-18,1.1597E-13,6.3876E-18
5.96791E-06,1.87773E-13,1.58381E-24,2.42834E-13,-2.57955E-17,-5.44205E-14,4.97968E-18,9.0846E-14,1.52554E-17
6.00394E-06,1.94797E-13,-1.03789E-23,2.54336E-13,-1.64905E-17,-9.43976E-14,1.87312E-18,7.52242E-14,2.012E-17
6.03998E-06,1.89962E-13,-5.43307E-24,2.34811E-13,6.08133E-18,-1.23685E-13,-5.51868E-18,7.22798E-14,5.05885E-18
6.07602E-06,1.72998E-13,5.17432E-24,1.91983E-13,2.83002E-17,-1.28613E-13,-2.82948E-18,7.97386E-14,-2.80498E-17
6.11205E-06,1.45351E-13,-4.53177E-24,1.38737E-13,3.80796E-17,-1.03151E-13,2.04727E-17,9.09494E-14,-4.96031E-17
6.14809E-06,1.10271E-13,-2.42958E-23,8.81017E-14,2.4929E-17,-5.21216E-14,5.66409E-17,9.77795E-14,-3.41078E-17
