Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	38.233	0.000	0.000	0.000	56.0	58.0	56.5	45.6
2	54.906	0.000	0.000	0.000	56.0	57.8	56.4	45.9
3	62.286	0.000	0.000	0.000	55.4	56.9	55.2	46.1
4	77.253	0.000	0.000	0.000	56.3	57.9	56.3	46.7
5	83.564	0.000	0.000	0.000	55.7	57.7	56.4	45.4
6	91.275	0.000	0.000	0.000	56.5	57.7	55.6	47.6
7	98.381	0.000	0.000	0.000	56.8	92.5	101.7	46.9
8	98.384	0.000	0.000	0.000	180.7	214.6	231.6	399.3
9	98.386	0.000	0.000	0.000	53.3	54.0	53.5	41.1
10	106.026	0.000	0.000	0.000	56.0	58.0	56.8	45.6
11	113.596	0.000	0.000	0.000	56.6	57.6	55.7	48.1
12	120.848	0.000	0.000	0.000	56.9	57.9	55.9	48.3
13	127.397	0.000	0.000	0.000	55.3	57.3	56.1	45.1
14	133.810	0.000	0.000	0.000	54.9	57.3	56.8	43.8
15	146.345	0.000	0.000	0.000	59.4	61.6	107.2	49.3
16	154.451	0.000	0.000	0.000	54.5	55.2	54.1	45.7
17	161.733	0.000	0.000	0.000	58.5	60.3	58.7	48.1
18	161.736	0.000	0.000	0.000	94.1	311.5	185.8	26.1
19	167.813	0.000	0.000	0.000	55.7	56.3	54.3	47.8
20	174.466	0.000	0.000	0.000	54.7	56.3	56.2	43.0
21	180.516	0.000	0.000	0.000	56.3	57.4	55.5	47.5
22	187.479	0.000	0.000	0.000	56.8	57.7	56.0	47.9
23	187.481	0.000	0.000	0.000	92.6	11.9	183.1	23.1
24	195.126	0.000	0.000	0.000	56.4	57.0	54.7	48.4
25	214.538	0.000	0.000	0.000	55.5	56.3	54.9	46.8
26	226.997	0.000	0.000	0.000	56.5	57.2	55.3	48.2
27	226.999	0.000	0.000	0.000	92.4	11.2	183.4	22.2
28	234.980	0.000	0.000	0.000	55.6	57.5	56.1	45.4
29	243.489	0.000	0.000	0.000	57.3	58.8	57.8	46.7
30	250.381	0.000	0.000	0.000	55.9	57.0	55.4	46.9
31	258.191	0.000	0.000	0.000	56.1	57.0	55.7	46.8
32	258.194	0.000	0.000	0.000	92.9	13.7	87.6	165.2
33	264.781	0.000	0.000	0.000	56.3	57.5	56.1	46.6
34	279.788	0.000	0.000	0.000	56.0	57.3	55.2	47.0
35	291.398	0.000	0.000	0.000	56.1	57.8	56.5	45.9
36	299.418	0.000	0.000	0.000	56.2	57.0	55.6	47.0
37	299.420	0.000	0.000	0.000	10.1	391.9	244.5	295.2
38	307.224	0.000	0.000	0.000	56.3	57.2	55.2	47.8
39	317.107	0.000	0.000	0.000	56.7	57.4	55.1	48.7
40	317.110	0.000	0.000	0.000	86.0	8.0	176.9	12.3
41	324.952	0.000	0.000	0.000	55.2	56.0	54.5	46.5
42	343.024	0.000	0.000	0.000	55.5	58.0	57.0	44.4
43	350.616	0.000	0.000	0.000	55.8	57.7	56.3	45.6
44	358.514	0.000	0.000	0.000	56.0	57.2	55.7	46.3
45	358.518	0.000	0.000	0.000	23.8	188.4	352.0	241.9
46	366.419	0.000	0.000	0.000	56.5	57.2	54.3	48.9
47	375.710	0.000	0.000	0.000	55.6	56.8	55.3	46.4
48	383.100	0.000	0.000	0.000	58.8	60.3	59.1	48.6
49	383.103	0.000	0.000	0.000	92.9	311.0	184.3	24.0
50	390.431	0.000	0.000	0.000	55.9	56.7	55.9	45.6
51	390.433	0.000	0.000	0.000	96.0	294.6	192.8	31.4
52	390.436	0.000	0.000	0.000	50.0	127.6	147.5	86.3
53	390.439	0.000	0.000	0.000	407.9	79.6	182.3	405.4
54	390.441	0.000	0.000	0.000	55.6	55.6	54.2	51.8
55	398.432	0.000	0.000	0.000	56.4	58.2	56.6	46.2
56	406.470	0.000	0.000	0.000	56.6	57.5	55.8	47.4
