Event,Time
1,8.322
3,15.359
5,20.758
7,25.832
9,33.716
11,38.963
12,44.245
14,48.792
16,72.306
18,75.976
20,79.901
22,84.153
24,87.786
26,91.467
28,97.172
30,103.43
31,109.119
33,115.116
35,123.648
37,129.191
38,136.735
40,141.055
42,147.367
44,151.779
46,157.134
47,162.486
49,168.094
51,171.755
53,177.127
60,200.666
62,212.261
64,218.634
66,223.069
70,235.737
72,239.869
73,245.411
75,251.028
77,256.61
79,262.14
81,266.42
83,272.792
85,283.242
87,289.928
89,295.649
91,300.355
93,306.841
95,312.667
97,320.116
99,327.277
101,333.092
103,340.324
105,346.883
107,353.067
109,360.627
111,383.108
