Event No.	Time	X	Y	Z	Arr Time 1
1	114.135				57.3
2	114.138				35.6
3	114.140				10.9
4	161.072				57.7
5	161.074				71.8
6	161.076				15.7
7	161.185				25.6
8	174.237				58.7
9	174.239				33.0
10	174.241				92.8
11	183.581				56.8
12	183.583				35.6
13	183.585				72.5
14	194.345				59.8
15	194.347				77.1
16	194.349				75.9
17	204.392				58.7
18	204.394				33.7
19	204.396				17.2
20	204.462				27.6
21	212.682				58.4
22	212.684				58.5
23	212.686				9.3
24	217.419				57.4
25	217.421				67.7
26	217.423				4.0
27	224.889				56.7
28	224.892				28.4
29	224.894				47.9
30	231.435				59.4
31	231.437				4.7
32	231.439				22.3
33	237.305				58.8
34	237.307				59.3
35	237.309				13.7
36	244.299				57.0
37	244.301				37.8
38	244.303				21.1
39	250.620				58.6
40	250.622				24.1
41	250.624				36.9
42	256.984				58.0
43	256.987				35.8
44	256.989				80.1
45	268.784				57.7
46	268.786				83.5
47	268.788				78.7
48	274.860				58.5
49	274.862				41.8
50	274.864				20.7
51	283.872				57.5
52	283.874				31.2
53	283.876				49.0
54	289.331				58.1
55	289.333				99.6
56	289.335				25.4
57	295.740				59.9
58	295.742				35.9
59	295.744				13.0
60	302.755				57.0
61	302.757				14.8
62	302.759				4.7
63	307.826				57.7
64	307.829				43.4
65	307.831				17.5
66	316.353				58.5
67	316.355				50.3
68	316.357				40.8
69	325.566				55.4
70	325.568				99.7
71	325.570				53.1
72	325.827				20.6
73	325.836				98.3
74	335.683				57.6
75	335.685				37.6
76	335.688				78.0
77	346.343				59.3
78	346.345				36.4
79	346.347				80.3
80	354.024				56.0
81	354.026				41.6
82	367.579				57.7
83	367.581				23.1
84	367.583				3.8
85	374.776				57.1
86	374.778				33.1
87	374.780				76.9
88	380.983				58.5
89	380.985				34.6
90	380.987				79.9
91	387.666				60.0
92	387.668				33.8
93	387.670				42.4
94	393.251				57.9
95	393.253				36.6
96	393.255				79.6
97	399.712				57.8
98	399.714				34.8
99	399.717				79.8
100	405.097				57.3
101	405.099				35.0
102	405.101				26.4
103	411.049				58.7
104	411.051				34.8
105	411.053				23.4
106	418.386				58.4
107	418.388				37.7
