Event No.	Time	X	Y	Z	Arr Time 1
1	5.310				51.4
2	5.312				92.4
3	10.529				51.5
4	10.531				90.9
5	14.615				51.9
6	14.617				93.4
7	20.280				49.3
8	20.282				94.0
9	26.689				53.7
10	26.692				21.0
11	29.672				48.9
12	29.673				11.8
13	32.751				54.6
14	32.753				85.2
15	36.148				52.7
16	36.150				17.9
17	40.223				53.2
18	40.226				20.2
19	43.925				48.5
20	43.927				15.0
21	61.422				53.3
22	61.424				23.1
23	68.649				52.4
24	68.651				88.1
25	71.766				55.9
26	71.768				6.7
27	74.629				47.7
28	74.631				79.6
29	82.985				52.8
30	82.987				20.6
31	87.519				55.5
32	87.521				22.1
33	94.642				49.7
34	94.645				15.5
35	100.977				52.4
36	100.979				20.7
37	104.086				50.8
38	104.089				26.8
39	107.477				53.3
40	107.479				22.5
41	112.100				48.1
42	112.102				16.7
43	122.794				51.7
44	122.796				22.8
45	126.481				54.2
46	126.483				21.8
47	130.732				54.7
48	130.734				21.2
49	138.223				51.2
50	138.225				15.6
51	142.107				53.4
52	142.109				78.2
53	146.066				50.0
54	146.068				13.6
55	151.531				51.8
56	151.533				16.7
57	156.957				51.6
58	156.959				24.3
59	161.469				52.6
60	161.471				22.0
61	164.332				48.2
62	164.334				90.3
63	168.149				52.8
64	168.151				19.4
65	171.363				51.1
66	171.365				31.1
67	174.297				49.6
68	174.299				60.4
69	176.758				50.8
70	176.760				91.7
71	183.560				53.3
72	183.562				18.4
73	187.354				54.0
74	187.356				56.6
75	190.958				55.1
76	190.960				25.8
77	190.962				20.3
78	194.400				53.3
79	194.402				17.1
80	197.004				52.9
81	197.007				20.2
82	197.009				62.6
83	202.268				54.8
84	202.271				86.4
85	206.342				51.7
86	206.344				18.1
87	210.648				52.7
88	210.650				16.9
89	213.825				54.2
90	213.827				88.8
91	213.829				15.6
92	217.482				56.0
93	217.484				58.6
94	217.486				57.6
95	217.489				15.4
96	222.411				54.5
97	222.413				64.6
98	222.415				94.2
99	226.237				51.3
100	226.239				60.6
101	226.242				16.8
102	236.362				53.4
103	236.364				23.7
104	240.800				50.2
105	240.802				17.1
106	244.071				51.7
107	244.073				65.2
108	247.465				55.2
109	247.467				82.4
110	247.469				88.5
111	256.532				53.3
