Event No.	Time	X	Y	Z	Arr Time 1
1	0.084				97.1
2	6.916				31.6
3	6.918				51.9
4	12.300				31.8
5	12.303				44.3
6	23.738				30.4
7	23.740				47.5
8	28.709				30.3
9	28.712				86.0
10	33.526				31.8
11	33.528				44.8
12	36.529				100.9
13	36.531				50.6
14	36.533				50.8
15	40.750				31.4
16	40.752				50.6
17	44.876				30.7
18	44.879				43.5
19	49.427				31.3
20	49.429				52.1
21	53.347				102.3
22	53.349				59.8
23	58.927				31.1
24	58.929				49.2
25	58.955				76.3
26	64.733				30.6
27	64.735				54.1
28	69.839				30.6
29	69.841				45.5
30	73.751				31.5
31	73.753				49.6
32	77.943				30.5
33	77.945				44.5
34	86.230				94.4
35	86.232				24.0
36	86.263				39.4
37	91.253				31.9
38	91.255				49.2
39	95.809				30.2
40	95.811				76.1
41	98.992				30.8
42	98.994				98.7
43	103.301				31.4
44	103.303				45.4
45	107.032				31.7
46	107.034				48.2
47	111.614				29.7
48	111.617				49.4
49	114.825				30.3
50	114.827				99.8
51	118.963				29.9
52	118.965				10.0
53	122.270				30.8
54	122.272				49.4
55	125.991				31.5
56	125.993				48.7
57	130.673				30.5
58	130.675				31.8
59	136.141				31.7
60	136.143				47.9
61	140.809				29.6
62	140.811				47.5
63	148.674				30.3
64	148.676				44.4
65	152.593				31.3
66	152.595				51.4
67	157.048				29.6
68	157.050				47.5
69	164.909				31.8
70	164.911				51.6
71	169.284				31.7
72	169.286				47.5
73	174.105				31.6
74	174.106				46.9
75	178.477				31.0
76	178.479				46.5
77	182.146				30.9
