Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	6.902	0.000	0.000	0.000	50.6	62.0	100.6	91.4
2	12.936	0.000	0.000	0.000	39.9	64.8	35.9	93.5
3	17.696	0.000	0.000	0.000	50.9	63.4	35.4	92.4
4	34.659	0.000	0.000	0.000	40.4	64.6	36.0	93.5
5	46.629	0.000	0.000	0.000	35.5	32.4	34.2	145.2
6	52.886	0.000	0.000	0.000	50.5	62.2	100.8	91.5
7	59.187	0.000	0.000	0.000	50.3	62.1	100.7	146.9
8	59.195	0.000	0.000	0.000	43.7	83.2	94.7	85.1
9	72.485	0.000	0.000	0.000	51.5	62.8	101.5	92.2
10	79.815	0.000	0.000	0.000	51.7	62.7	101.4	92.3
11	100.940	0.000	0.000	0.000	50.7	60.7	99.1	90.9
12	109.300	0.000	0.000	0.000	50.8	61.6	100.5	91.3
13	115.560	0.000	0.000	0.000	50.9	61.1	110.4	91.1
14	115.566	0.000	0.000	0.000	42.5	118.3	112.0	83.1
15	124.805	0.000	0.000	0.000	50.4	61.7	100.7	91.2
16	130.694	0.000	0.000	0.000	51.2	63.1	101.7	92.4
17	136.985	0.000	0.000	0.000	50.7	64.6	36.2	93.6
18	142.287	0.000	0.000	0.000	51.7	64.4	36.5	93.6
19	147.647	0.000	0.000	0.000	50.4	63.1	102.0	92.3
20	165.490	0.000	0.000	0.000	50.5	61.6	100.4	91.1
21	188.694	0.000	0.000	0.000	49.2	64.6	36.2	93.6
22	192.923	0.000	0.000	0.000	51.9	64.0	102.9	93.3
23	197.009	0.000	0.000	0.000	50.2	62.2	100.9	91.4
24	201.495	0.000	0.000	0.000	50.2	62.4	101.0	91.4
25	206.161	0.000	0.000	0.000	36.4	32.7	34.4	145.3
26	210.746	0.000	0.000	0.000	50.9	61.7	100.4	91.3
27	215.113	0.000	0.000	0.000	50.9	62.0	100.6	91.5
28	219.389	0.000	0.000	0.000	50.4	62.4	101.0	91.6
29	223.882	0.000	0.000	0.000	40.7	64.8	35.9	93.5
30	230.408	0.000	0.000	0.000	51.2	63.2	101.8	92.3
31	242.124	0.000	0.000	0.000	52.3	63.7	102.8	93.4
32	247.535	0.000	0.000	0.000	38.0	33.9	35.8	146.5
33	252.230	0.000	0.000	0.000	52.1	64.1	102.9	93.4
34	256.042	0.000	0.000	0.000	51.0	63.1	101.9	92.4
35	259.687	0.000	0.000	0.000	50.8	61.7	100.4	91.3
36	264.356	0.000	0.000	0.000	50.9	61.0	99.8	91.2
37	278.115	0.000	0.000	0.000	50.5	63.2	35.5	92.4
38	283.292	0.000	0.000	0.000	51.1	63.0	101.7	92.3
39	287.670	0.000	0.000	0.000	50.9	62.8	101.6	92.1
40	293.557	0.000	0.000	0.000	51.0	60.7	98.3	91.1
41	302.072	0.000	0.000	0.000	50.7	61.2	100.0	91.1
42	306.863	0.000	0.000	0.000	51.7	64.1	103.2	93.4
43	311.043	0.000	0.000	0.000	51.4	62.4	101.3	92.0
44	327.512	0.000	0.000	0.000	51.8	61.8	100.7	92.1
45	332.748	0.000	0.000	0.000	50.7	61.5	100.3	91.2
46	337.762	0.000	0.000	0.000	52.5	64.1	102.7	93.5
47	342.522	0.000	0.000	0.000	51.5	62.5	101.7	92.3
48	348.108	0.000	0.000	0.000	50.8	61.0	99.4	91.0
49	360.909	0.000	0.000	0.000	34.4	32.9	34.9	35.9
50	379.587	0.000	0.000	0.000	50.6	61.0	100.0	91.0
