Event No.	Time	X	Y	Z	Arr Time 1	Arr Time 2	Arr Time 3	Arr Time 4
1	10.511	0.000	0.000	0.000	56.0	58.4	56.7	48.6
2	17.157	0.000	0.000	0.000	51.9	51.8	26.8	36.4
3	22.144	0.000	0.000	0.000	56.7	57.4	29.2	44.9
4	28.746	0.000	0.000	0.000	56.5	56.4	31.6	47.9
5	36.119	0.000	0.000	0.000	53.6	54.9	101.4	43.4
6	42.760	0.000	0.000	0.000	58.8	58.8	34.8	49.7
7	52.107	0.000	0.000	0.000	49.0	46.7	24.6	33.1
8	211.284	0.000	0.000	0.000	50.8	49.8	25.7	40.3
9	222.231	0.000	0.000	0.000	51.3	50.1	25.2	37.8
10	228.229	0.000	0.000	0.000	51.4	50.0	25.9	42.5
11	240.360	0.000	0.000	0.000	51.6	50.3	26.2	41.7
12	249.572	0.000	0.000	0.000	56.0	56.8	104.5	45.9
13	256.614	0.000	0.000	0.000	49.7	48.5	24.3	29.0
14	262.977	0.000	0.000	0.000	60.7	64.4	36.5	97.7
15	266.637	0.000	0.000	0.000	51.3	50.2	29.5	40.9
16	271.079	0.000	0.000	0.000	56.8	59.0	105.1	48.4
17	276.868	0.000	0.000	0.000	55.9	56.6	33.3	45.2
18	303.077	0.000	0.000	0.000	54.0	50.7	28.8	45.7
19	308.642	0.000	0.000	0.000	54.7	54.3	30.1	36.9
20	312.656	0.000	0.000	0.000	52.4	51.2	30.1	39.2
21	317.688	0.000	0.000	0.000	53.4	53.7	40.3	88.9
22	322.914	0.000	0.000	0.000	52.9	51.5	27.5	44.6
23	329.106	0.000	0.000	0.000	50.8	50.3	96.6	35.1
24	333.063	0.000	0.000	0.000	53.4	53.7	28.0	41.7
25	337.300	0.000	0.000	0.000	54.0	53.1	103.6	45.7
26	341.730	0.000	0.000	0.000	57.6	58.8	36.8	48.9
27	345.952	0.000	0.000	0.000	54.0	53.6	31.7	41.5
28	354.341	0.000	0.000	0.000	55.7	55.3	30.1	48.0
29	358.351	0.000	0.000	0.000	56.7	56.9	106.6	47.1
30	362.552	0.000	0.000	0.000	55.0	55.8	41.0	90.4
31	386.663	0.000	0.000	0.000	51.2	50.6	101.6	40.2
32	390.358	0.000	0.000	0.000	56.8	59.2	58.1	49.0
33	394.362	0.000	0.000	0.000	54.9	55.5	34.8	88.5
34	399.664	0.000	0.000	0.000	56.1	57.9	54.7	46.4
35	403.566	0.000	0.000	0.000	56.0	57.8	56.1	47.8
36	407.653	0.000	0.000	0.000	51.5	50.8	27.8	43.1
37	416.034	0.000	0.000	0.000	52.5	52.8	101.9	45.1
38	420.265	0.000	0.000	0.000	54.0	53.1	32.0	42.7
39	424.717	0.000	0.000	0.000	57.5	59.0	37.6	94.5
40	439.972	0.000	0.000	0.000	56.3	58.1	57.9	48.0
41	445.068	0.000	0.000	0.000	58.6	59.9	36.3	93.4
42	449.563	0.000	0.000	0.000	57.1	57.9	39.7	91.7
43	453.977	0.000	0.000	0.000	53.9	53.1	103.7	43.4
44	458.102	0.000	0.000	0.000	49.1	48.1	25.2	41.7
45	463.485	0.000	0.000	0.000	52.1	50.6	293.6	293.0
46	471.575	0.000	0.000	0.000	58.2	59.5	34.5	95.1
47	476.117	0.000	0.000	0.000	53.9	68.7	210.1	98.2
48	480.469	0.000	0.000	0.000	57.1	58.9	40.6	93.2
49	494.758	0.000	0.000	0.000	56.3	56.6	106.2	48.4
50	500.483	0.000	0.000	0.000	58.6	61.0	57.8	50.3
